account,date,daily_pnl,trade_count,avg_trade_size,avg_leverage,long_count,short_count,win_trades,win_rate,long_short_ratio,is_profitable,value,classification,sentiment
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2025-02-19,40314.808014,9274,415.5314882715117,0.0,6130,3144,2968,0.32003450506793185,1.9491255961844196,1,44.0,Fear,Fear
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-07-03,-14505.50575,39,4275.01971907,0.0,31,8,0,0.0,3.4444444444444446,0,50.0,Neutral,Neutral
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-10-27,67900.247545,283,798.1460184452296,0.0,125,158,155,0.5477031802120141,0.7861635220125787,1,74.0,Greed,Greed
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2025-02-19,19451.742477,95,3252.747008985474,0.0,0,95,84,0.8842105263157894,0.0,1,44.0,Fear,Fear
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2024-10-27,20925.513222,190,115.81315053889473,0.0,84,106,105,0.5526315789473685,0.7850467289719626,1,74.0,Greed,Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2025-02-19,8751.751449,182,16487.91208791209,0.0,133,49,49,0.2692307692307692,2.66,1,44.0,Fear,Fear
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2024-10-27,55.01524,9,0.060779999999999994,0.0,7,2,2,0.2222222222222222,2.3333333333333335,1,74.0,Greed,Greed
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2025-02-19,21703.816512999998,525,0.13531017142857144,0.0,297,228,170,0.3238095238095238,1.296943231441048,1,44.0,Fear,Fear
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-11-14,155.50335699999994,1043,2571.132308878236,0.0,489,554,287,0.2751677852348993,0.8810810810810811,1,69.0,Greed,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-03-09,2606.8947559999997,3076,23763.398300536413,0.0,1513,1563,673,0.21879063719115735,0.967391304347826,1,84.0,Extreme Greed,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-07-03,62586.1816,1643,4394.432638536214,0.0,1019,624,345,0.20998174071819842,1.6304,1,50.0,Neutral,Neutral
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-10-27,1421755.845871,1268,1131.2214598888959,0.0,148,1120,719,0.5670347003154574,0.1320249776984835,1,74.0,Greed,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2025-02-19,553818.000465,7380,798.100564308943,0.0,3477,3903,2886,0.3910569105691057,0.890625,1,44.0,Fear,Fear
0xb899e522b5715391ae1d4f137653e7906c5e2115,2025-02-19,22488.500821,4838,268.0968867465895,0.0,2368,2470,2122,0.4386109962794543,0.9583164710643464,1,44.0,Fear,Fear
0xbaaaf6571ab7d571043ff1e313a9609a10637864,2025-02-19,940157.212682,21190,208.86921428645587,0.0,11195,9995,9907,0.46753185464841907,1.1199479791916767,1,44.0,Fear,Fear
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2024-10-27,11671.68,267,1936.3370786516855,0.0,49,218,41,0.15355805243445692,0.2237442922374429,1,74.0,Greed,Greed
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-02-19,325441.97721599997,2211,4324.115647937585,0.0,1054,1157,823,0.3722297602894618,0.9101899827288429,1,44.0,Fear,Fear
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2024-10-27,684215.002602,9883,109.59313191338663,0.0,3092,6791,5626,0.5692603460487706,0.4552414605418139,1,74.0,Greed,Greed
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-19,126967.976166,26651,92.51356075172001,0.0,12568,14083,10257,0.3848636073693295,0.8923601249644987,1,44.0,Fear,Fear
