account,date,daily_pnl,trade_count,avg_trade_size,avg_leverage,long_count,short_count,win_trades,win_rate,long_short_ratio,is_profitable
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-10-27,-327505.900056,462,12.296536796536797,0.0,139,323,12,0.025974025974025976,0.42901234567901236,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-19,1927735.720035,3356,16.700055780691297,0.0,1572,1784,1361,0.40554231227651966,0.880672268907563,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-10-27,20607.446093000002,320,129.5396139866875,0.0,145,175,170,0.53125,0.8238636363636364,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-19,17098.727055,3533,851.7958757769601,0.0,1528,2005,1537,0.43504104160769885,0.7617148554336989,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-06-15,10179.147366,3427,178.4321236591771,0.0,1382,2045,1516,0.44236941931718704,0.6754643206256109,1
0x271b280974205ca63b716753467d5a371de622ab,2024-07-03,-1.0,5,40.0,0.0,2,3,0,0.0,0.5,0
0x271b280974205ca63b716753467d5a371de622ab,2024-10-27,1793.1602149999999,5,83.09891999999999,0.0,3,2,4,0.8,1.0,1
0x271b280974205ca63b716753467d5a371de622ab,2025-02-19,29970.928216,1136,25.691708679577467,0.0,506,630,489,0.43045774647887325,0.8019017432646592,1
0x271b280974205ca63b716753467d5a371de622ab,2025-06-15,-102199.279749,2663,261.4342712680435,0.0,1055,1608,657,0.246714232069095,0.6556867619639528,0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-10-27,121880.386016,6472,2773.3332751515914,0.0,3086,3386,2872,0.4437577255871446,0.911130794213168,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-19,10435.095669,6794,1420.918087095279,0.0,3606,3188,2940,0.4327347659699735,1.1307619943555973,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-06-15,149.33286900000002,45,58.98800005311111,0.0,7,38,26,0.5777777777777777,0.1794871794871795,1
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-10-27,52215.729448,763,33318.957672346005,0.0,305,458,362,0.4744429882044561,0.664488017429194,1
